url,title,company,origin,tech
https://www.finn.no/job/fulltime/ad.html?finnkode=333498707,Er du vår nye Servicenow utvikler?,Forsvarsbygg,finn.no,JavaScript
https://www.finn.no/job/fulltime/ad.html?finnkode=335601161,Systemforvalter GAT,Direktoratet for forvaltning og økonomistyring,finn.no,"Python, API, SQL"
https://www.finn.no/job/fulltime/ad.html?finnkode=335593038,Har du erfaring med systemforvaltning og vil være med å effektivisere offentlig sektor? Da bør du lese videre!,Direktoratet for forvaltning og økonomistyring,finn.no,API
https://www.finn.no/job/management/ad.html?finnkode=335589122,Vil du bli en del av vår IT-avdeling?,Matrix Insurance AS,finn.no,"SQL, JavaScript, TypeScript, Git, Angular, HTML, CSS"
https://www.finn.no/job/fulltime/ad.html?finnkode=335592332,Erfaring med utvikling i Java og interesse for å jobbe med arkitektur? Bli med på laget vårt!,Skatteetaten,finn.no,"REST, JavaScript, React, Java, Git, Jenkins"
https://www.finn.no/job/fulltime/ad.html?finnkode=335588452,Blue Ctrl søker Software Development Engineers,Blue Ctrl AS,finn.no,"Linux, Java"
https://www.finn.no/job/fulltime/ad.html?finnkode=335584869,REMA 1000 Norge AS søker Utvikler Monitorering,REMA 1000 Norge AS,finn.no,
https://www.finn.no/job/management/ad.html?finnkode=335583893,Er du den nye lederen for lavgraderte tjenester i Cyberforsvaret?,Forsvaret,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=335586155,Ambisjoner om å bli en ettertraktet Java - eller .NET-utvikler? Vi investerer i deg!,Experis Academy,finn.no,"Java, React, Angular"
https://www.finn.no/job/fulltime/ad.html?finnkode=335578040,Vil du være med å utvikle brukerflaten i et av verdens største IT-konsulentselskaper?,CGI,finn.no,"React, Angular"
https://www.finn.no/job/fulltime/ad.html?finnkode=335576878,Utvikler integrasjon,TINE Gruppa,finn.no,"Java, API, DevOps, CI/CD"
https://www.finn.no/job/fulltime/ad.html?finnkode=335576423,Har du lyst til å være en del av et team i vekst?,Storebrand,finn.no,dbt
https://www.finn.no/job/fulltime/ad.html?finnkode=335576506,IT-arkitekt Integrasjon,TINE Gruppa,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=335574627,Jobb som techlead i produktteam,Innovasjon Norge,finn.no,"Azure, React, CSS"
https://www.finn.no/job/fulltime/ad.html?finnkode=335572132,Kréatif søker en utvikler / teknisk 2. linje support medarbeider,ECIT,finn.no,"React, HTML, CSS, JavaScript, TypeScript, Vue.js, Angular"
https://www.finn.no/job/fulltime/ad.html?finnkode=334899550,.NET-utvikler som vil jobbe med spennende teknologi fra Microsoft?,Skatteetaten,finn.no,"React, REST, C#"
https://www.finn.no/job/fulltime/ad.html?finnkode=335561182,Are you our new Data Engineer that will handle drilling data from rigs in operation?,HMH,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=335521082,Lyst til å hjelpe folk med arkitekturen i Google Cloud Platform?,AYR AS,finn.no,"Google Cloud, DevOps"
https://www.finn.no/job/fulltime/ad.html?finnkode=335541023,Institutt for informasjonsteknologi og kommunikasjon styrker fagmiljøet,Høgskolen i Østfold,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=335500124,Er du vår nye senior frontend-utvikler? – Fullstack ingen hindring,Sem & Stenersen Prokom AS,finn.no,"Python, API, HTML, CSS, JavaScript, React, Git, Node.js"
https://www.finn.no/job/fulltime/ad.html?finnkode=335504120,Bli med på vår digitaliseringsreise!,Flekkefjord Sparebank,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=335500891,Vil du jobbe som løsningsarkitekt med ansvar for den mest sentrale løsningen i norsk økonomi?,Norges Bank,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=335500371,Er du vår nye forretningsutvikler?,Sopra Steria,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=335446294,We have big plans for the future - do you want to be part of them?,PALFINGER MARINE NORWAY AS,finn.no,"Rust, TypeScript, SQL, Go, Python"
https://www.finn.no/job/fulltime/ad.html?finnkode=335499305,Vil du jobbe som Test Lead i Microsoft Dynamics 365 CE og Power Platform?,OBOS,finn.no,"Azure, Scrum"
https://www.finn.no/job/fulltime/ad.html?finnkode=335497630,Jobbe med utvikling i ett av Norges råeste Dynamics 365 og Azure Devops installasjoner?,OBOS,finn.no,Azure
https://www.finn.no/job/fulltime/ad.html?finnkode=335495576,Spennede mulighet til å jobbe med informasjonssikkerhet i Arbeids- og velferdsdirektoratet!,NAV,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=335490053,Er du systemdrevet og har god kjennskap til ERP og komplekse systemlandskap?,Avinor AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=335489829,Løsningsarkitekt som vil ha i pose og sekk?,EXPERIS SOLUTIONS AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=335484753,Nyutdannet høsten 2024 -  Software Development,Capgemini Norge AS,finn.no,"AWS, Java, Kotlin, Scala, React, Angular, Azure"
https://www.finn.no/job/fulltime/ad.html?finnkode=335484166,Senior DevOps Plattformutvikler - Eika IT Oslo,Eika Gruppen AS,finn.no,"DevOps, Azure, Kubernetes, CI/CD, AWS, Python, Go, Java, Kotlin, React, Docker, Ruby"
https://www.finn.no/job/fulltime/ad.html?finnkode=335480896,"Fullstack Utviklere, Skagerak Energi AS",Skagerak Energi AS,finn.no,"Azure, Kubernetes, API"
https://www.finn.no/job/fulltime/ad.html?finnkode=335478951,Leveransekoordinator Plattform,TINE Gruppa,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=335477335,Ditt neste karrieresteg begynner her! bli med oss å gjøre en forskjell.,Visma Enterprise AS,finn.no,DevOps
https://www.finn.no/job/fulltime/ad.html?finnkode=335475856,Teamleder i seksjon for utvikling og rådgiving,Norges vassdrags- og energidirektorat (NVE),finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=335472891,Trivast du med å hjelpe og jobbe tett med brukarane?,Vestland fylkeskommune,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=335468719,Do you want to make products that help people think better?,reMarkable,finn.no,"BigQuery, Google Cloud, Looker, PowerBI, Tableau, dbt"
https://www.finn.no/job/fulltime/ad.html?finnkode=335466040,An exciting role as a Cloud Platform Engineer in DNB!,DNB Bank ASA,finn.no,"DevOps, AWS, Azure, Jenkins, Docker, CI/CD, Linux, Java, Go, Python"
https://www.finn.no/job/fulltime/ad.html?finnkode=314699708,Ønsker du å spille en sentral rolle i samfunnsnyttige prosjekter?,Edisys Consulting,finn.no,
https://www.finn.no/job/parttime/ad.html?finnkode=332781183,"Bli med å bygge morgendagens løsninger for helse, klima og utdanning",DevOtta AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=335453350,Prosjektledere og seniorutviklere til Miles Ålesund,Miles Ålesund AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=335454035,Are you ready to lead the charge in shaping the future of cloud architecture?,Visma Software International AS,finn.no,Azure
https://www.finn.no/job/fulltime/ad.html?finnkode=335457362,Join Mettler-Toledo Cargoscan as Senior Application Software Engineer,METTLER-TOLEDO CARGOSCAN AS,finn.no,"Python, Perl, Linux, Git"
https://www.finn.no/job/fulltime/ad.html?finnkode=335453623,ZTL are looking for a Tech Lead,ZTL PAYMENT SOLUTION AS,finn.no,"Azure, Kubernetes, React, Agile, DevOps, Kotlin, Java"
https://www.finn.no/job/fulltime/ad.html?finnkode=335448713,Data Scientist,TINE Gruppa,finn.no,"Python, Data Science, AWS"
https://www.finn.no/job/fulltime/ad.html?finnkode=335447839,Vil du være med på å modernisere vår infrastruktur fra tradisjonelle systemer til cloud-native løsninger?,Indra Navia AS,finn.no,"DevOps, Linux, CI/CD, Kubernetes"
https://www.finn.no/job/fulltime/ad.html?finnkode=335447837,Vil du være med på å med på å skape morgendagens Air Traffic Management-løsninger?,Indra Navia AS,finn.no,"Linux, DevOps"
https://www.finn.no/job/management/ad.html?finnkode=335450639,Vil du være med å forme fremtiden for vårt teknologiske landskap?,Havila Kystruten,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=335447005,Senior teknikar Microsoft Azure,Vestland fylkeskommune,finn.no,Azure
https://www.finn.no/job/fulltime/ad.html?finnkode=335446276,"Vi utvikler banebrytende forsvarsteknologi, bli med!",Forsvarets forskningsinstitutt,finn.no,"CI/CD, Python, JavaScript"
https://www.finn.no/job/fulltime/ad.html?finnkode=335426750,System Architect,Ulstein Group,finn.no,Python
