url,title,company,location
https://www.finn.no/job/fulltime/ad.html?finnkode=333370928,Vi søker personalledere for utviklere med et samfunnsoppdrag,NAV,
https://www.finn.no/job/fulltime/ad.html?finnkode=335490053,Er du systemdrevet og har god kjennskap til ERP og komplekse systemlandskap?,Avinor AS,
https://www.finn.no/job/fulltime/ad.html?finnkode=335489829,Løsningsarkitekt som vil ha i pose og sekk?,EXPERIS SOLUTIONS AS,
https://www.finn.no/job/fulltime/ad.html?finnkode=335484753,Nyutdannet høsten 2024 -  Software Development,Capgemini Norge AS,
https://www.finn.no/job/fulltime/ad.html?finnkode=335484166,Senior DevOps Plattformutvikler - Eika IT Oslo,Eika Gruppen AS,
"https://www.finn.no/job/fulltime/ad.html?finnkode=335480896,""Fullstack Utviklere, Skagerak Energi AS"",Skagerak Energi AS,"
https://www.finn.no/job/fulltime/ad.html?finnkode=335478951,Leveransekoordinator Plattform,TINE Gruppa,
https://www.finn.no/job/fulltime/ad.html?finnkode=335477335,Ditt neste karrieresteg begynner her! bli med oss å gjøre en forskjell.,Visma Enterprise AS,
https://www.finn.no/job/fulltime/ad.html?finnkode=335475856,Teamleder i seksjon for utvikling og rådgiving,Norges vassdrags- og energidirektorat (NVE),
https://www.finn.no/job/fulltime/ad.html?finnkode=335472891,Trivast du med å hjelpe og jobbe tett med brukarane?,Vestland fylkeskommune,
https://www.finn.no/job/fulltime/ad.html?finnkode=335468719,Do you want to make products that help people think better?,reMarkable,
https://www.finn.no/job/fulltime/ad.html?finnkode=335466040,An exciting role as a Cloud Platform Engineer in DNB!,DNB Bank ASA,
https://www.finn.no/job/fulltime/ad.html?finnkode=314699708,Ønsker du å spille en sentral rolle i samfunnsnyttige prosjekter?,Edisys Consulting,
"https://www.finn.no/job/parttime/ad.html?finnkode=332781183,""Bli med å bygge morgendagens løsninger for helse, klima og utdanning"",DevOtta AS,"
https://www.finn.no/job/fulltime/ad.html?finnkode=335453350,Prosjektledere og seniorutviklere til Miles Ålesund,Miles Ålesund AS,
https://www.finn.no/job/fulltime/ad.html?finnkode=335454035,Are you ready to lead the charge in shaping the future of cloud architecture?,Visma Software International AS,
https://www.finn.no/job/fulltime/ad.html?finnkode=335457362,Join Mettler-Toledo Cargoscan as Senior Application Software Engineer,METTLER-TOLEDO CARGOSCAN AS,
https://www.finn.no/job/fulltime/ad.html?finnkode=335453623,ZTL are looking for a Tech Lead,ZTL PAYMENT SOLUTION AS,
https://www.finn.no/job/fulltime/ad.html?finnkode=335448713,Data Scientist,TINE Gruppa,
https://www.finn.no/job/fulltime/ad.html?finnkode=335447837,Vil du være med på å med på å skape morgendagens Air Traffic Management-løsninger?,Indra Navia AS,
https://www.finn.no/job/fulltime/ad.html?finnkode=335447839,Vil du være med på å modernisere vår infrastruktur fra tradisjonelle systemer til cloud-native løsninger?,Indra Navia AS,
https://www.finn.no/job/management/ad.html?finnkode=335450639,Vil du være med å forme fremtiden for vårt teknologiske landskap?,Havila Kystruten,
https://www.finn.no/job/fulltime/ad.html?finnkode=335447005,Senior teknikar Microsoft Azure,Vestland fylkeskommune,
"https://www.finn.no/job/fulltime/ad.html?finnkode=335446276,""Vi utvikler banebrytende forsvarsteknologi, bli med!"",Forsvarets forskningsinstitutt,"
https://www.finn.no/job/fulltime/ad.html?finnkode=335426750,System Architect,Ulstein Group,
"https://www.finn.no/job/fulltime/ad.html?finnkode=335373556,""Er du en erfaren IKT-arkitekt, og vil jobbe med den tekniske arkitekturen for å sikre et moderne forsvar?"",Forsvarsmateriell,"
https://www.finn.no/job/fulltime/ad.html?finnkode=335369626,Bli med på den morsomste reisen i karrieren din!,MELIUS CONSULTING AS,
https://www.finn.no/job/fulltime/ad.html?finnkode=335365136,Ledertrainee i Reitan Retail,Reitan Retail AS,
https://www.finn.no/job/fulltime/ad.html?finnkode=334767360,Systemutviklere - vil du være med å skape fremtidens IT-løsninger med DOPS,DOPS AS,
https://www.finn.no/job/fulltime/ad.html?finnkode=335364117,Er du vår nye leder utviklingsplattform?,Statens pensjonskasse (SPK),
https://www.finn.no/job/fulltime/ad.html?finnkode=335356183,Studentsommerjobb 2024,Å Energi konsern,
